id,region_id,delegacion,nivel,sede,created_at,updated_at
47,10,D-II-16,TELEBACHILLERATO,"SAN ANDRES TUXTLA",NULL,NULL
48,5,D-I-84,"TECNICOS DOCENTES ADMINISTRATIVOS",XALAPA,NULL,NULL
49,10,D-I-45,PRIMARIAS,"PLAYA VICENTE",NULL,NULL
50,10,D-II-28,TELEBACHILLERATO,ISLA,NULL,NULL
51,9,D-II-10,"SECUNDARIA Y BACHILLERES",ALVARADO,NULL,NULL
52,9,D-I-63,PREESCOLAR,COSAMALOAPAN,NULL,NULL
53,10,D-I-29,PRIMARIAS,"LERDO DE TEJADA",NULL,NULL
54,10,D-I-89,PREESCOLAR,ISLA,NULL,NULL
55,10,D-II-51,TELEBACHILLERATO,"SANTIAGO TUXTLA",NULL,NULL
56,10,D-I-68,PRIMARIAS,"SANTIAGO TUXTLA",NULL,NULL
57,8,D-I-37,PRIMARIAS,ORIZABA,NULL,NULL
58,5,D-III-04,"ADMINISTRATIVOS  EDUCACION FISICA",XALAPA,NULL,NULL
59,5,D-II-21,TELEBACHILLERATO,XALAPA,NULL,NULL
60,7,D-II-09,"ESCUELA SECUNDARIA Y BACHILLERES DE ARTES Y OFICIOS",CORDOBA,NULL,NULL
61,5,D-II-46,"TELEBACHILLERATO II",XALAPA,NULL,NULL
62,10,D-I-41,PREESCOLAR,"SAN ANDRES TUXTLA",NULL,NULL
63,8,D-I-65,PRIMARIAS,ZONGOLICA,NULL,NULL
64,8,D-I-55,PRIMARIAS,"SAN JUAN TEXHUACAN",NULL,NULL
65,8,D-I-10,PRIMARIAS,"CIUDAD MENDOZA",NULL,NULL
66,8,D-I-54,PRIMARIAS,TEQUILA,NULL,NULL
67,5,D-III-01,MANUALES,XALAPA,NULL,NULL
68,7,D-III-11,"EDUCACION FISICA",CORDOBA,NULL,NULL
69,5,D-I-05,PRIMARIAS,ALTOTONGA,NULL,NULL
70,5,D-I-92,"ENSEÑANZAS MUSICALES",XALAPA,NULL,NULL
71,1,D-I-90,PREESCOLAR,TANTOYUCA,NULL,NULL
72,1,D-I-87,PRIMARIAS,IXCATEPEC,NULL,NULL
73,8,D-II-17,TELESECUNDARIA,ORIZABA,NULL,NULL
74,8,D-II-26,TELEBACHILLERATO,ORIZABA,NULL,NULL
75,8,D-I-03,PRIMARIAS,ACULTZINGO,NULL,NULL
76,9,D-II-27,TELEBACHILLERATO,"TIERRA BLANCA",NULL,NULL
77,8,D-III-05,"EDUCACION FISICA",ORIZABA,NULL,NULL
78,1,D-I-91,PREESCOLAR,PANUCO,NULL,NULL
79,1,D-I-44,PRIMARIAS,"PLATON SANCHEZ",NULL,NULL
80,5,D-III-16,"EDUCACION FISICA",COATEPEC,NULL,NULL
81,7,D-I-64,PREESCOLAR,CORDOBA,NULL,NULL
82,5,D-II-38,TELESECUNDARIA,XALAPA,NULL,NULL
83,5,D-II-13,NORMAL,XALAPA,NULL,NULL
84,1,D-I-51,PRIMARIAS,TANTOYUCA,NULL,NULL
85,5,D-II-15,"BACHILLERATOS VESPERTINOS",XALAPA,NULL,NULL
86,1,D-I-52,PRIMARIAS,TEMPOAL,NULL,NULL
87,5,D-III-08,"ADMINISTRATIVOS Y DOCENTES DE LA D.G.B.",XALAPA,NULL,NULL
88,5,D-II-24,"UNIVERSIDAD PEDAGOGICA VERACRUZANA",XALAPA,NULL,NULL
89,6,D-I-07,PRIMARIAS,"BOCA DEL RIO",NULL,NULL
90,1,D-I-39,PRIMARIAS,PANUCO,NULL,NULL
91,1,D-III-17,"EDUCACION FISICA",TANTOYUCA,NULL,NULL
92,9,D-II-43,BACHILLERATO,ALVARADO,NULL,NULL
93,9,D-I-06,PRIMARIAS,ALVARADO,NULL,NULL
94,5,D-II-03,"BACHILLERATO  ARTICULO 3° DIURNA",XALAPA,NULL,NULL
95,9,D-I-56,PRIMARIAS,"TIERRA BLANCA",NULL,NULL
96,5,D-I-81,PREESCOLAR,COATEPEC,NULL,NULL
97,5,D-I-61,LOCALES,XALAPA,NULL,NULL
98,1,D-I-72,PRIMARIAS,"PUEBLO VIEJO",NULL,NULL
99,5,D-I-53,PRIMARIAS,TEOCELO,NULL,NULL
100,5,D-III-03,"ADMINISTRATIVOS OFICINAS CENTRALES",XALAPA,NULL,NULL
101,5,D-I-11,PRIMARIAS,COATEPEC,NULL,NULL
102,5,D-I-34,PRIMARIAS,NAOLINCO,NULL,NULL
